title,author,synopsis,goodreads,genre,language,amazon
"Shadow Play - Shashi Deshpande","Shashi Deshpande","A sequel to A Matter of Time, published in 2013, this novel is a meditation on kinship, marriage, ambition and the changing face of urban India. Picking up ten years later, it returns to Aru and her sisters, left bereft after their mother's death and father's desertion. Aru navigates married life and life's unpredictability, still uncertain about reaching out and being vulnerable, while the story confronts family tragedy, violence, and the cruelties inflicted within families.","https://www.goodreads.com/book/show/18521118-shadow-play","Fiction, Indian Literature, Contemporary","English",""
"That Long Silence - Shashi Deshpande","Shashi Deshpande","Jaya, a failed writer, sees her familiar existence disrupted when her husband's reputation is questioned and the family's future is thrown into jeopardy. Forced to confront the frustrations of her seventeen-year marriage, her disappointment in her two teenage children, and the claustrophobia of her childhood, she reflects on the silences that have shaped her life. Widely regarded as a feminist text of immense power, the novel won the Sahitya Akademi Award.","https://www.goodreads.com/book/show/124894.That_Long_Silence","Fiction, Cultural (India), Feminism","English",""
"The Night of Broken Glass","Feroz Rather","The Night of Broken Glass is a collection of thirteen interconnected short stories in which the same set of characters move in and out, sometimes central to the narrative and at other times witnesses in the background. Set against three decades of insurgency in Kashmir, the stories render in fiction the effects of violence on the region's inhabitants. Through this tapestry, Feroz Rather weaves the horror that Kashmir has come to represent.","https://www.goodreads.com/book/show/40190823-the-night-of-broken-glass","Fiction, Short Stories, Cultural (India)","English",""
"Selected Stories of Charles Dickens","Charles Dickens","Charles Dickens is known not only for his novels but also for his short stories, particularly A Christmas Carol. This selection gathers some of his shorter works, including pieces such as The Haunted Man written for the Christmas market, all laying emphasis on family love and the delights of home. The collection showcases Dickens's distinctive wit and imaginative power in the shorter narrative form.","https://www.goodreads.com/book/show/36327879-selected-short-stories-by-charles-dickens","Short Stories, Classics, Fiction","English",""
"A Matter of Time - Shashi Deshpande","Shashi Deshpande","Set in present-day Karnataka, A Matter of Time explores the relationships within an extended family across three generations. When Gopal walks out on his wife, Sumi, and their three daughters, Sumi returns with them to the Big House where her parents have lived in oppressive silence, not speaking to each other for thirty-five years. As the mystery of that long silence is unraveled, a story of loss and pain is laid bare, one that seems to be repeating itself in Sumi's own life.","https://www.goodreads.com/book/show/1224605.A_Matter_of_Time","Fiction, Cultural (India), Feminism","English",""
"The Psychology of Money","Morgan Housel","In The Psychology of Money, Morgan Housel shares 19 short stories exploring the different ways people think about money, teaching readers to make better sense of one of life's most important topics. Doing well with money isn't necessarily about what you know, it's about how you behave. In the real world people don't make financial decisions on a spreadsheet; they make them at the dinner table where personal history, ego, pride, and odd incentives are all scrambled together.","https://www.goodreads.com/book/show/41881472-the-psychology-of-money","Nonfiction, Finance, Self Help","English","https://www.amazon.in/dp/9390166268"
"Attitude is everything","Jeff Keller","Jeff Keller shows how the road to a happier, more successful life starts with your attitude. Drawing on his own career transition from lawyer to motivational speaker, he demonstrates how to take control and unleash hidden potential through three decisive steps: think, speak, and act. The book is divided into three parts covering how success begins in the mind, watching your words, and taking action.","https://www.goodreads.com/book/show/482579.Attitude_Is_Everything","Self Help, Nonfiction, Personal Development","English",""
"The rudest book ever","Shwetabh Gangwar","The Rudest Book Ever is a straight-talking, no-nonsense self-help guide that helps readers recognize the ignorance they hold toward themselves and free their minds from everyday nonsense. Author and problem-solver Shwetabh Gangwar offers practical principles and perspectives for dealing with the difficulties that have happened, are happening, and will happen to you. It is a refreshing, easy-to-read guide that will make you rethink much of what you've been taught.","https://www.goodreads.com/book/show/49057616-the-rudest-book-ever","Self Help, Nonfiction, Personal Development","English","https://www.amazon.in/dp/9388754433"
"The secret","Rhonda Bryne","The Secret centers on the law of attraction, the belief that your thoughts shape your reality. Drawing on wisdom said to have been used by great figures throughout history, Rhonda Byrne reveals how to apply this knowledge in every aspect of life. Readers learn how to use The Secret for money, health, relationships, happiness, and every interaction they have in the world.","https://www.goodreads.com/book/show/52529.The_Secret","Nonfiction, Self Help, Spirituality","English","https://www.amazon.in/dp/074356619X"
"The 7 habits of highly effective people","Stephen R. Covey, Jim Collins","Stephen R. Covey presents a holistic, integrated, principle-centered approach for solving personal and professional problems. With penetrating insights and pointed anecdotes, he reveals a step-by-step pathway for living with fairness, integrity, honesty, and human dignity. The seven habits move a person progressively from dependence to independence to interdependence, offering timeless lessons in personal change.","https://www.goodreads.com/book/show/36072.The_7_Habits_of_Highly_Effective_People","Nonfiction, Self Help, Business","English","https://www.amazon.in/dp/1982137134"
"What every Indian should know before investing","Vinod Pottayil","This book explains the majority of investment options available to Indian investors, from Fixed Deposits, PPF, and Real Estate to Gold, Mutual Funds, and Stocks, covering the advantages, disadvantages, and tax implications of each. It also includes comprehensive chapters on Life Insurance, Health Insurance, the National Pension Scheme, writing a will, and making a financial plan. Written in simple English, it is aimed at people of all ages who want to take control of their financial lives.","https://www.goodreads.com/book/show/50540845-what-every-indian-should-know-before-investing","Nonfiction, Finance, Business","English",""
"Circe","Madeline Miller","In the house of Helios, god of the sun, a daughter is born. But Circe is a strange child, neither powerful like her father nor viciously alluring like her mother, and she turns to the world of mortals for companionship, discovering that she possesses the power of witchcraft. Threatened, Zeus banishes her to a deserted island, where she hones her occult craft and crosses paths with many of the most famous figures in Greek mythology. Yet a woman who stands alone will eventually draw the wrath of both gods and men.","https://www.goodreads.com/book/show/35959740-circe","Fantasy, Fiction, Mythology","English","https://www.amazon.in/dp/B0CHRXWBNG"
"The Namesake","Jhumpa Lahiri","The Namesake takes the Ganguli family from their tradition-bound life in Calcutta through their fraught transformation into Americans. On the heels of their arranged wedding, Ashoke and Ashima Ganguli settle in Cambridge, Massachusetts, where their son Gogol, named after the celebrated Russian author, grows up rejecting both his unusual name and his Bengali heritage. Lahiri explores the immigrant experience, the clash of cultures, and the tangled ties between generations.","https://www.goodreads.com/book/show/33917.The_Namesake","Fiction, Cultural (India), Contemporary","English","https://www.amazon.in/dp/0618485228"
"Gone Girl","Gillian Flynn","On a warm summer morning in North Carthage, Missouri, it is Nick and Amy Dunne's fifth wedding anniversary when Amy suddenly disappears. Under mounting pressure from the police and a growing media frenzy, Nick's portrait of the perfect couple begins to crack. Told through alternating perspectives and Amy's diary entries, the novel is a dark exploration of marriage, deception, and unreliable narration that keeps readers guessing until the end.","https://www.goodreads.com/book/show/19288043-gone-girl","Fiction, Thriller, Mystery","English","https://www.amazon.in/dp/0307588378"
"Digital Fortress","Dan Brown","When the NSA's invincible code-breaking machine encounters a mysterious code it cannot break, the agency calls its head cryptographer, Susan Fletcher, a brilliant and beautiful mathematician. What she uncovers sends shock waves through the corridors of power. The NSA is being held hostage, not by guns or bombs, but by a code so ingeniously complex that if released it would cripple U.S. intelligence.","https://www.goodreads.com/book/show/11125.Digital_Fortress","Fiction, Thriller, Mystery","English","https://www.amazon.in/dp/0552171379"
"Sapiens","Yuval Noah Harari","Sapiens explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be human. From examining the role evolving humans have played in the global ecosystem to charting the rise of empires, Harari integrates history and science to reconsider accepted narratives, connect past developments with contemporary concerns, and examine specific events within the context of larger ideas.","https://www.goodreads.com/book/show/23692271-sapiens","Nonfiction, History, Science","English","https://www.amazon.in/dp/0099590085"
"Shoe Dog","Phil Knight","In this candid and riveting memoir, Nike founder Phil Knight shares the inside story of the company's early days as a start-up and its evolution into one of the world's most iconic, profitable, and controversial brands. Beginning in 1962 with a crazy idea to import running shoes from Japan, Knight recounts the risks, setbacks, rivals, and triumphs that shaped Nike, offering an honest look at the messy, myth-shattering reality of building something new.","https://www.goodreads.com/book/show/27220736-shoe-dog","Nonfiction, Biography, Business","English","https://www.amazon.in/dp/1508211809"
"Jack Reacher - Killing Floor","Lee Child","Jack Reacher jumps off a bus and walks fourteen miles down a country road into Margrave, Georgia. He is the only stranger in town on the day they have their first homicide in thirty years, and the police arrest him, with the chief of police turning eyewitness to place him at the scene. Introducing Reacher as a tough ex-military cop of no fixed abode, this debut launches one of the most popular action-thriller series in fiction.","https://www.goodreads.com/book/show/78129.Killing_Floor","Thriller, Mystery, Fiction","English","https://www.amazon.in/dp/0553826166"
"Defending Jacob","William Landay","Assistant District Attorney Andy Barber is called to a gruesome crime scene after fourteen-year-old Ben Rifkin is found brutally stabbed in a local park. Suspicion turns quickly to Andy's own son, Jacob, one of Ben's classmates, and the Barber family is thrust into a nightmare. A suspenseful, character-driven tale of guilt, betrayal, and the terrifying speed at which our lives can spin out of control.","https://www.goodreads.com/book/show/11367726-defending-jacob","Thriller, Mystery, Fiction","English","https://www.amazon.in/dp/0345533666"
"A thing beyond forever","Novoneel Chakraborty","Dr. Radhika Sharma appears to the world as an arrogant feminist, but inside she is a broken person still coming to terms with the sudden death of her first love, Raen. A nine-year-old patient under her treatment is not only infatuated with her but keeps asking her non-stop questions, one of which leads her to open Raen's personal diary. As she reads, Radhika discovers an uncanny similarity between Raen and the young boy in this soul-stirring love story.","https://www.goodreads.com/book/show/7522463-a-thing-beyond-forever","Romance, Fiction, Fantasy","English",""
"Sivagami Sabhatham -1 & 2 - Kalki","Kalki Krishnamurthy","Set in seventh-century South India, this historical Tamil epic centers on the struggle for supremacy between the Chalukya Emperor Pulikesi II and the Pallava rulers Mahendra Varmar and his son Narasimha Varmar. Woven through the political and military conflict is the ardent yet ill-fated romance between Crown Prince Narasimha Varmar and Sivakami, the beautiful and talented dancer who is the daughter of the land's foremost sculptor, Aayanar. It is regarded as one of the greatest novels ever written in Tamil.","https://www.goodreads.com/book/show/8610067","Historical Fiction, Fiction, Classics","Tamil",""
"One night at the call center","Chetan bhagat","The story follows six call center employees working the night shift at a call center in Gurgaon, India, each grappling with their own anxieties around career, love, marriage, and family. Over the course of a single eventful night, cultural cross-wires, workplace pressures, and personal crises collide. Everything changes when the group receives a mysterious phone call from God.","https://www.goodreads.com/book/show/105578.One_Night_at_the_Call_Center","Fiction, Romance, Contemporary","English","https://www.amazon.in/dp/8129108186"
"Angels & Demon","Dan Brown","Harvard symbologist Robert Langdon is summoned after a physicist is found murdered and a canister of deadly antimatter goes missing, hidden somewhere in Vatican City and set to explode within twenty-four hours. Langdon joins forces with scientist Vittoria Vetra in a frantic race across Rome, confronting the resurgence of the ancient secret society known as the Illuminati. The threat targets the Vatican and the cardinals gathered to elect the next Pope.","https://www.goodreads.com/book/show/960.Angels_Demons","Fiction, Thriller, Mystery","English","https://www.amazon.in/dp/0552161268"
"The Power of your Subconscious Mind","Joseph Murphy","A bestseller since its first publication in 1963, this classic self-help work argues that the events of your life are the result of the interplay between your conscious and subconscious minds. Dr. Joseph Murphy explains practical techniques for focusing and redirecting this inner energy to change your destiny. He shows how readers can heal themselves, banish fears, sleep better, improve relationships, and feel happier.","https://www.goodreads.com/book/show/68984.The_Power_of_Your_Subconscious_Mind","Self Help, Nonfiction, Psychology","English","https://www.amazon.in/dp/8172345666"
"The Monogram Murders","Sophie Hannah","The first Hercule Poirot mystery sanctioned by the Agatha Christie estate. At London's Bloxham Hotel, three guests are found murdered in separate rooms, each posed with an identical monogrammed cufflink placed in the mouth. Shortly before, Poirot encounters a terrified woman named Jennie in a coffee house who insists she is about to be murdered and that she will have deserved it. Poirot must unravel how the cases connect before the killer strikes again.","https://www.goodreads.com/book/show/19367226-the-monogram-murders","Mystery, Fiction, Thriller","English","https://www.amazon.in/dp/0007547412"
"The Mystery of Three Quarters","Sophie Hannah","The third new Hercule Poirot mystery by Sophie Hannah. Poirot is pressed into service when multiple people arrive at his door, furious over letters he supposedly sent accusing each of them of murdering a man named Barnabas Pandy. Poirot has never heard of Pandy and certainly sent no such letters, and it isn't even clear a crime has been committed. He must untangle who forged his name and why.","https://www.goodreads.com/book/show/36671154-the-mystery-of-three-quarters","Mystery, Fiction, Crime","English",""
"The Double Clue","Agatha Christie","A collection of Hercule Poirot short stories. In the title story, only four people had the opportunity to steal Marcus Hardman's medieval jewels, and when Poirot examines the scene of the crime he finds two clues that lead to the culprit. It also marks Poirot's encounter with Countess Vera Rossakoff, his only acknowledged love interest.","https://www.goodreads.com/book/show/28729389-the-double-clue","Mystery, Short Stories, Crime","English",""
"By the Pricking of My Thumbs","Agatha Christie","Featuring Christie's detectives Tommy and Tuppence Beresford, now middle-aged. While visiting an elderly aunt at a gothic British nursing home, the pair encounter hints of poisoning and mysterious secrets. They investigate strange and troubling doings behind the scenes, uncovering a sinister mystery hidden beneath the home's respectable surface.","https://www.goodreads.com/book/show/19013038-by-the-pricking-of-my-thumbs","Mystery, Fiction, Crime","English","https://www.amazon.in/dp/0062074334"
"The 5th Horseman","James Patterson","The fifth Women's Murder Club thriller by James Patterson and Maxine Paetro. Lieutenant Lindsay Boxer and attorney Yuki Castellano lead an investigation into a string of mysterious patient deaths at San Francisco Municipal Hospital, whose administration is determined to shield its reputation at all costs. As an explosive court battle grips the nation, the Women's Murder Club hunts a merciless killer among the medical staff.","https://www.goodreads.com/book/show/21445.5th_Horseman","Mystery, Thriller, Fiction","English",""
"Crooked House","Sophie Hannah","The Leonides are one big happy family living in a sprawling, ramshackle mansion, until the head of the household, Aristide, is murdered with a fatal barbiturate injection. Suspicion naturally falls on the old man's young widow, fifty years his junior. But the murderer has reckoned without the tenacity of Charles Hayward, fiance of the late millionaire's granddaughter. One of Christie's own favourites, with a famously shocking ending.","https://www.goodreads.com/book/show/16315.Crooked_House","Mystery, Fiction, Crime","English","https://www.amazon.in/dp/0062073532"
"The Girl You Left Behind","Jojo Moyes","A dual-timeline novel. In occupied France in 1916, Sophie is left behind when her artist husband goes to fight, and a German Kommandant becomes dangerously fixated on her and the portrait her husband painted of her. In present-day London, grieving widow Liv Halston owns that same painting and, with art investigator Paul, becomes caught up in the mystery of Sophie's fate and the painting's contested history.","https://www.goodreads.com/book/show/18693627-the-girl-you-left-behind","Historical Fiction, Romance, Fiction","English","https://www.amazon.in/dp/0718157842"
"Thanks for the Memories","Cecelia Ahern","After a devastating miscarriage and the collapse of her marriage, Joyce Conway moves in with her eccentric father and begins recalling memories that are not her own. They belong to Justin Hitchcock, a divorced architecture lecturer in Dublin who recently gave blood at a university blood drive. A touch of magical realism ties their lives together in this warm, unusual love story.","https://www.goodreads.com/book/show/2410506.Thanks_for_the_Memories","Fiction, Romance, Chick Lit","English",""
"A Stranger in the House","Shari Lapena","Karen and Tom Krupp seem happily settled in upstate New York until Tom comes home to find Karen gone, having left in a rush without her purse or phone. She has been in a car accident in the worst part of town and claims she can't remember what she was doing there. The police suspect her convenient memory loss, and when Karen senses someone has been in her house, the questions only multiply.","https://www.goodreads.com/book/show/33984056-a-stranger-in-the-house","Thriller, Mystery, Fiction","English","https://www.amazon.in/dp/073522112X"
"Hollywood Bliss My life so far","Chloe Rayban","The second book in the Hollywood Bliss series. Hollywood Bliss Winterman and her mega-famous popstar mother Kandhi are moving to New York City, and as usual things are anything but blissful. An army of stylists and assistants flutter around her mum, her father has a severe case of hypochondria, and her annoying soon-to-be-stepbrother Shug is always lurking. All Holly wants is to be an ordinary girl.","https://www.goodreads.com/book/show/435804.Hollywood_Bliss_My_Life_So_Far","Young Adult, Humor, Fiction","English",""
"NYPD RED 5","James Patterson","Published as Red Alert, this is the fifth NYPD Red novel by James Patterson and Marshall Karp. Detectives Zach Jordan and Kylie MacDonald of the elite NYPD Red task force respond after a bomb goes off while they provide security to the Mayor. A tale of revenge, greed, blackmail and jealousy, the investigation draws them into underground drug cartels and corruption at the highest levels of society.","https://www.goodreads.com/book/show/30363792-red-alert","Thriller, Mystery, Fiction","English",""
"Ghachar Ghochar","Vivek Shanbhag","Translated from the Kannada by Srinath Perur, this slim novel follows a close-knit middle-class family in Bangalore whose lives are upended when a spice business brings sudden wealth. Narrated by an unnamed young man who idles away his days at a coffee house, it traces how money quietly corrodes the family's bonds and values, turning everything into ghachar ghochar, a tangled, inextricable mess.","https://www.goodreads.com/book/show/30267604-ghachar-ghochar","Fiction, Cultural India, Short Story","English","https://www.amazon.in/dp/9351776174"
"Heads You Win","Jeffery Archer","In 1968 Leningrad, Alexander Karpenko and his mother must flee Russia after his father is assassinated by the KGB. At the docks they face an irreversible choice determined by the toss of a coin: board a ship for America or for Great Britain. The novel follows both paths, tracing Alex in New York and Sasha in London across thirty years of triumphs and defeats, building to a final twist.","https://www.goodreads.com/book/show/39073422-heads-you-win","Fiction, Thriller, Historical Fiction","English","https://www.amazon.in/dp/152901171X"
"And Thereby Hangs a Tale","Jeffery Archer","A collection of fifteen contemporary short stories by Jeffrey Archer, ten of them inspired by real events gathered from around the globe. Tales include a couple who fall in love waiting for a traffic light in Delhi, a priceless family oil painting, and a life changed by a golf ball in a Christmas cracker. The title is drawn from Shakespeare's The Taming of the Shrew.","https://www.goodreads.com/book/show/7202869-and-thereby-hangs-a-tale","Short Stories, Fiction, Anthologies","English",""
"The Sins of the Father","Jeffery Archer","Picking up where Only Time Will Tell ends, Harry Clifton is arrested after assuming the name Tom Bradshaw and accused of murdering his brother. Only days before Britain declares war on Germany, Harry, hoping to escape long-buried family secrets and forced to accept he may never marry Emma Barrington, joins the Merchant Navy, but his ship is sunk in the Atlantic by a German U-boat. The second book in The Clifton Chronicles.","https://www.goodreads.com/book/show/12160906-the-sins-of-the-father","Fiction, Historical Fiction, Drama","English","https://www.amazon.in/dp/0330517937"
"Only Time will Tell","Jeffery Archer","Beginning in 1920, this is the epic tale of Harry Clifton, a working-class boy from the docks of Bristol whose life is defined by the death of his father in the war. A remarkable gift wins him a scholarship to an exclusive boys' school and entry into a world he never imagined. Over twenty years, as the Second World War draws nearer, Harry learns the awful truth about his father's death and his ties to the powerful Barrington shipping family.","https://www.goodreads.com/book/show/10872085-only-time-will-tell","Fiction, Historical Fiction, Drama","English","https://www.amazon.in/dp/0330517988"
"Honour Among Thieves","Jeffery Archer","Set two years after the Gulf War in the early Clinton administration, Saddam Hussein hatches a cunning plan to humiliate the United States by stealing the Declaration of Independence and burning it on the Fourth of July. A crooked American lawyer is drawn into the scheme, while a Mossad agent is sent to Iraq, teaming up with an American law professor working as an agent.","https://www.goodreads.com/book/show/79006","Fiction, Thriller, Mystery","English",""
"The Night Crew","John Sanford","Anna Batory runs the night crew, a small band of freelance video journalists who roam Los Angeles from dusk to dawn chasing accidents, robberies, murders, and demonstrations to sell footage to news stations. When one of her shoots turns deadly, Anna finds herself targeted by a killer and teams up with the father of a boy caught on her film. A standalone thriller from the author of the Prey series.","https://www.goodreads.com/book/show/433110","Mystery, Thriller, Fiction","English",""
"Dracula","Bram Stoker","Told through journals, letters, and newspaper clippings, this Gothic horror classic follows solicitor Jonathan Harker's journey to Count Dracula's castle in Transylvania. After Harker returns, a series of bizarre incidents unfolds around Whitby, and a strange malady begins draining the life from young Lucy. A band of allies led by Professor Van Helsing unites to hunt the vampire and stop his spread of terror across England.","https://www.goodreads.com/book/show/17245.Dracula","Classics, Horror, Fiction","English","https://www.amazon.in/dp/9359850365"
"The Famous Five: Five on a Secret Trail","Enid Blyton","The Famous Five go camping and pitch their tent near a ruined, seemingly abandoned cottage. When Anne hears strange noises at night, the others don't believe her, until they all see ghostly lights. Is the cottage really haunted, or is there another, more sinister explanation? The fifteenth book in Enid Blyton's Famous Five series.","https://www.goodreads.com/book/show/557226.Five_on_a_Secret_Trail","Childrens, Mystery, Adventure","English",""
"Ramayan","Valmiki","R.K. Narayan's shortened modern prose retelling of the great Indian epic, drawing inspiration from the work of the eleventh-century Tamil poet Kamban. It recreates the excitement and joy of the original story of Rama and Sita, beloved figures known to almost every individual in India. A master novelist makes one of the world's supreme storytelling masterpieces accessible to English readers.","https://www.goodreads.com/book/show/129876.The_Ramayana","Classics, Mythology, Fiction","English",""
"Game of thrones (Full series)","George R.R. Martin","In the Seven Kingdoms of Westeros, summers can span decades and winters last a lifetime, and the cold is returning to the land of the Starks. Amid plots and counter-plots, tragedy and betrayal, victory and terror, allies and enemies, the fate of the Stark family hangs in the balance as each side endeavors to win the deadliest of conflicts: the game of thrones. The first book in the A Song of Ice and Fire series.","https://www.goodreads.com/book/show/13496.A_Game_of_Thrones","Fantasy, Fiction, Epic Fantasy","English","https://www.amazon.in/dp/0007477155"
"Well Behaved women","Caroline Lamond","A sweeping historical novel set in the Golden Age of Hollywood, based on the real life of silent movie star Alla Nazimova. Through a dual timeline, it follows Alla as she reinvents herself after a troubled upbringing, alongside Maybelle Crabtree, a young girl from Texas arriving in Hollywood for the first time. Both women carry secrets about their pasts and previous relationships.","https://www.goodreads.com/book/show/60854030-well-behaved-women","Historical Fiction, Fiction, LGBT","English",""
"A Time to Kill","John Grisham","When Carl Lee Hailey guns down the men who raped his ten-year-old daughter, the people of Clanton see it as justified. But when word spreads that a black man has killed two white men, extremists descend on the town. Young lawyer Jake Brigance takes the case that could make or break his career, and in the maelstrom of Clanton, could also get him killed.","https://www.goodreads.com/book/show/32542.A_Time_to_Kill","Fiction, Thriller, Legal Thriller","English",""
"Bones are forever","Kathy Reichs","Forensic anthropologist Temperance Brennan is called to a squalid Montreal apartment where she discovers the bodies of three hidden newborns. The trail of the missing mother, a woman with a string of aliases, leads Tempe from Edmonton to Yellowknife, a remote diamond-mining city in the Northwest Territories. Alongside detectives Ryan and Ollie Hasty, she uncovers a web of deceit tied to the diamond trade.","https://www.goodreads.com/book/show/13030356-bones-are-forever","Mystery, Thriller, Crime","English",""
"Wings of Fire - Autobiography of APJ Abdul Kalam","APJ Abdul Kalam","Wings of Fire is the autobiography of A.P.J. Abdul Kalam, the aerospace scientist who led India's space and missile programs and later became President of India. He recounts his early life, struggles, and the fortitude and chance that shaped his career. The book traces his journey from a humble childhood in Rameswaram to the heights of Indian science and technology.","https://www.goodreads.com/book/show/634583.Wings_of_Fire","Nonfiction, Autobiography, Biography","English","https://www.amazon.in/dp/8173711461"
"Shoba de- Speed post","Shobhaa De","In Speedpost, Shobhaa De writes a series of candid letters to her six children, sharing advice and reflections on growing up. She addresses adolescent anxieties about love, sex, and friendship, along with religion, the challenges of responsible parenting, death, remembrance, and family traditions. The book offers touching, personal meditations on motherhood and values.","https://www.goodreads.com/book/show/124552.Speedpost_Shobha_D","Nonfiction, Parenting, India","English",""
"The Mill on the Floss","George Eliot","This semi-autobiographical novel follows siblings Tom and Maggie Tulliver growing up at Dorlcote Mill on the River Floss in rural England. Their close but troubled bond is tested by family bankruptcy, forbidden relationships, and personal tragedy. Maggie, clever and passionate, repeatedly sacrifices her own desires for family loyalty, culminating in a tragic conclusion.","https://www.goodreads.com/book/show/20564.The_Mill_on_the_Floss","Classics, Fiction, Literature","English",""
"She broke it I didn't","Raksha Bharadia","A light-hearted look at modern relationships told through humorous anecdotes reflecting the clash between men's and women's perspectives.","","Contemporary Fiction / Relationship Humor","English",""
"Revolution 2020 by Chetan Bhagat","Chetan Bhagat","Set in Varanasi, Revolution 2020 follows childhood friends Gopal, Raghav, and Aarti as they chase success and love in a society that rewards the corrupt. Gopal wants wealth, Raghav wants to change the system, and both love Aarti. The story becomes a love triangle intertwined with corruption, ambition, and a journey of self-discovery, exposing how coaching institutions exploit engineering aspirants.","https://www.goodreads.com/book/show/12615008-revolution-2020","Fiction, Romance, Indian Literature","English","https://www.amazon.in/dp/8129135531"
